NAME	LAT	LON
WALDMUENCHEN	49,23	12,41
STRAUBING	48,5	12,34
GR.ARBER	49,07	13,08
ZWIESEL	49,02	13,14
FREIBURG	48,01	7,5
LAHR	48,22	7,5
FREUDENST.	48,27	8,25
KLIPPENECK	48,07	8,45
MESSSTETTEN	48,11	9
SIGMARINGEN	48,06	9,15
STOETTEN	48,4	9,52
LAUPHEIM	48,13	9,55
ULM	48,23	9,57
ULM-MAEHRINGEN	48,27	9,55
HARBURG	48,47	10,43
AUGSBURG	48,26	10,56
NEUBURG/DONAU	48,43	11,13
LECHFELD	48,11	10,51
LANDSBERG	48,04	10,54
FUERSTENFELDBRUCK	48,12	11,16
INGOLSTADT	48,43	11,32
WEIHENSTEPHAN	48,24	11,42
MUENCHEN STADT	48,1	11,32
MUENCHEN-FL.	48,22	11,48
GOTTFRIEDING	48,4	12,32
MUEHLDORF	48,17	12,3
PASSAU	48,35	13,28
FUERSTENZELL	48,33	13,21
FELDBERG/S.	47,53	8
KONSTANZ	47,41	9,11
FRIEDRICHSHAFEN	47,4	9,31
LEUTKIRCH-HERLAZHFN.	47,48	10,02
KEMPTEN	47,43	10,2
MEMMINGEN	47,59	10,14
OBERSTDORF	47,24	10,17
ALTENSTADT	47,5	10,52
ZUGSPITZE	47,25	10,59
HOHENPEISSENBERG	47,48	11,01
GARMISCH	47,29	11,04
WENDELSTEIN	47,42	12,01
CHIEMING	47,53	12,32
WOLFSEGG	48,06	13,4
ROHRBACH	48,34	14
LINZ FL.	48,14	14,11
KREMSMUENSTER	48,04	14,08
FREISTADT	48,3	14,3
AMSTETTEN	48,07	14,54
ALLENSTEIG	48,41	15,22
ZWETTL	48,37	15,12
LITSCHAU	48,57	15,02
RETZ	48,46	15,56
ST. POELTEN	48,12	15,37
TULLN	48,19	16,07
POYSDORF	48,4	16,38
WIEN/CITY	48,12	16,22
WIEN/HOHE WARTE	48,15	16,22
WIEN FL.	48,07	16,34
WIEN/UNTERLAA	48,08	16,25
RIED IM INNKREIS	48,13	13,29
SCHAERDING	48,28	13,26
LINZ	48,18	14,17
KREMS	48,25	15,37
LANGENLOIS	48,28	15,42
LILIENFELD/TARSCHBER	48,02	15,35
GUMPOLDSKIRCHEN	48,02	16,17
BREGENZ	47,3	9,45
FELDKIRCH	47,16	9,37
ST.ANTON AM ARLBERG	47,08	10,16
GALZIG	47,08	10,14
LANDECK	47,09	10,34
NAUDERS	46,53	10,3
INNSBRUCK FL.	47,16	11,21
OBERGURGL	46,52	11,01
BRENNER	47,07	11,26
KUFSTEIN	47,35	12,1
ST.JOHANN/TIROL	47,31	12,27
GERLOS	47,13	12,02
ALPINZENTRUM RUDOL.	47,08	12,38
LOFER	47,35	12,42
BISCHOFSHOFEN	47,24	13,13
ZELL A.SEE FL.	47,18	12,47
ZELL A.SEE	47,2	12,48
BAD GASTEIN	47,07	13,08
SONNBLICK	47,03	12,57
ST.MICHAEL/LUNGAU	47,06	13,39
OBERTAUERN	47,15	13,34
SALZBURG FL.	47,48	13
GMUNDEN	47,54	13,47
FEUERKOGEL	47,49	13,43
BAD ISCHL	47,43	13,38
AIGEN/ENNS	47,32	14,08
ZELTWEG	47,12	14,45
LUNZ	47,51	15,04
MARIAZELL	47,46	15,19
FISCHBACH	47,27	15,39
ST.MICHAEL	47,2	15
KAPFENBERG	47,28	15,2
WIENER NEUSTADT	47,5	16,13
EISENSTADT	47,51	16,32
KLEINZICKEN	47,12	16,2
NEUSIEDL AM SEE	47,57	16,51
SILLIAN	46,45	12,25
LIENZ	46,5	12,48
MALLNITZ	46,59	13,11
VILL.ALPE	46,36	13,4
VILLACH	46,37	13,52
KOEFLACH	47,04	15,05
KLAGENFURT FL.	46,39	14,2
FEISTRITZ	46,34	14,46
GRAZ FL.	47	15,26
GLEICHENBERG	46,52	15,54
BAD RADKERSBURG	46,41	15,59
VIRGEN (OSTTIROL)	47	12,27
KOETSCHACH	46,41	13
DELLACH IM DRAUTAL	46,44	13,05
SPITTAL/DRAU (TAWES)	46,47	13,29
MURAU	47,07	14,11
DEUTSCHLANDSBERG	46,49	15,14
GRAZ (UNIVERSITAET)	47,05	15,27
LASSNITZHOEHE	47,05	15,35
LEIBNITZ	46,47	15,33
WARTH	47,15	10,11
ISCHGL	46,59	10,19
GALTUER	46,58	10,11
REUTTE AUTOM.	47,3	10,43
MAYRHOFEN	47,1	11,51
SCHMITTENHOEHE	47,2	12,44
SALZBURG	47,47	13,03
BAD GOISERN	47,38	13,37
WINDISCHGARSTEN	47,44	14,2
ST. WOLFGANG	47,44	13,27
REICHENAU/RAX	47,42	15,5
HARTBERG	47,17	15,59
EGER	50,04	12,23
KARLSBAD	50,12	12,55
PRIMDA	49,4	12,41
TUSIMICE	50,23	13,2
PILSEN	49,39	13,16
PLZEN (AUT. STATION)	49,45	13,21
CHURANOV	49,04	13,37
KOCELOVICE	49,28	13,5
AUSSIG	50,41	14,02
DOKSANY	50,28	14,1
PRAG FL.	50,06	14,15
PRAG	50,01	14,27
TEMELIN	49,12	14,2
PRAHA (KBELI AIRP.)	50,07	14,32
LIBEREC	50,46	15,01
CASLAV	49,56	15,23
KRAMOLIN-KOSETICE	49,35	15,05
PEC POD SNEZKOU	50,41	15,44
PARDUBICE	50,01	15,44
PRIBYSLAW	49,35	15,46
USTI NAD ORLICI	49,59	16,25
SVRATOUCH	49,44	16,02
NAMEST NAD OSLAVOU	49,1	16,07
DUKOVANY	49,06	16,08
KUCHAROVICE	48,53	16,05
LUKA	49,39	16,57
BRUENN	49,09	16,42
HOLESOV	49,19	17,34
OSTRAVA/MOSNOV	49,41	18,07
LYSA HORA/RIESENGEB.	49,33	18,27
BRATISLAVA	48,1	17,12
JASLOVSKE BOHUNICE	48,29	17,4
PIESTANY	48,37	17,5
NITRA	48,17	18,08
MOCHOVCE	48,17	18,27
HURBANOVO	47,52	18,12
PRIEVIDZA	48,46	18,35
DUDINCE	48,1	18,52
SLIAC	48,39	19,09
LUCENEC	48,2	19,44
STREBSKE PLESO	49,07	20,05
POPRAD/T.	49,04	20,15
TELGART	48,51	20,11
KOSICE	48,4	21,13
STROPKOV,TISINEC	49,13	21,39
MILHOSTOV	48,4	21,43
KAMENICA NAD C.	48,56	22
KOSZALIN	54,12	16,1
LEBA	54,45	17,32
HEL	54,36	18,49
DANZIG	54,23	18,28
ELBLAG	54,1	19,26
KETRZYN	54,04	21,22
SUWALKI	54,08	22,57
SWINEMUENDE	53,55	14,14
STETTIN	53,24	14,37
RESKO	53,46	15,25
PILA	53,08	16,45
CHOJNICE	53,42	17,33
TORUN	53,02	18,35
MLAWA	53,06	20,22
MIKOLAJKI	53,47	21,35
BIALYSTOK	53,06	23,1
GORZOW WLKP	52,44	15,17
SLUBICE	52,21	14,35
POSEN	52,25	16,5
POWIDZ	52,22	17,51
KOLO	52,12	18,4
PLOCK	52,35	19,44
WARSCHAU	52,1	20,58
SIEDLCE	52,15	22,15
TERESPOL	52,05	23,37
ZIELONA GORA	51,56	15,32
LEGNICA BARTOSZOW	51,11	16,13
LESZNO	51,5	16,32
WROCLAW II	51,06	16,53
KALISZ	51,47	18,05
WIELUN	51,13	18,34
LODZ	51,44	19,24
SULEJOW	51,21	19,52
KOZIENICE	51,34	21,32
LUBLIN RADAWIEC	51,13	22,24
JELENIA GORA	50,54	15,48
SNIEZKA	50,44	15,44
KLODZKO	50,26	16,37
OPOLE	50,4	17,58
RACIBORZ	50,04	18,11
CZESTOCHOWA	50,49	19,06
KATOWICE/PYRZOWICE	50,29	19,05
KATOWICE	50,14	19,02
KRAKOW	50,05	19,48
KIELCE	50,49	20,42
RZESZOW-JASIONKA	50,06	22,03
SANDOMIERZ	50,42	21,43
BIELSKO-BIALA	49,48	19
ZAKOPANE	49,18	19,58
NOWY SACZ	49,37	20,42
LESKO	49,28	22,2
JOSVAFO	48,29	20,32
MISKOLC	48,05	20,46
SOPRON	47,41	16,36
MOSONMAGYAROVAR	47,53	17,17
GYOR	47,43	17,41
PAPA	47,12	17,3
VESZPREM	47,04	17,5
BUDAPEST/FERIHEGY	47,26	19,16
BUDAPEST	47,31	19,02
BUDAPEST/LORINC	47,26	19,11
AGARD	47,11	18,37
DEBRECEN	47,29	21,36
SZENTGOTTHARD	46,55	16,19
SARMELLEK	46,41	17,1
NAGYKANIZSA	46,27	16,58
SIOFOK	46,55	18,03
PECS/POGANY	46	18,14
KECSKEMET	46,55	19,45
SZEGED	46,15	20,06
BEKESCSABA	46,41	21,1
NOVI SAD	45,2	19,51
LOZNICA	44,33	19,14
VALJEVO	44,19	19,55
BEOGRAD/SURCIN	44,49	20,17
BELGRAD	44,48	20,28
KRAGUJEVAC	44,02	20,56
NEGOTIN	44,14	22,33
ZLATIBOR	43,44	19,43
KRALJEVO	43,42	20,42
KOPAONIK	43,17	20,48
NIS	43,2	21,54
LESKOVAC	42,59	21,57
HERCEGNOVI	42,27	18,33
TIVAT	42,24	18,44
NIKSIC	42,46	18,57
BAR	42,06	19,05
PODGORICA/GOLUBOBCI	42,22	19,15
PODGORICA	42,26	19,17
PEC	42,4	20,18
PRIZREN	42,13	20,44
PRISTINA	42,39	21,09
VRANJE	42,33	21,55
SKOPJE	41,58	21,39
SHKODRA	42,06	19,32
KUKES	42,02	20,25
DURRES	41,18	19,27
TIRANA	41,2	19,47
LJUBLJANA/BRNIK	46,13	14,29
MARIBOR/SLIVNICA	46,29	15,41
ZAGREB/GRIC	45,49	15,58
ZAGREB/PLESO	45,44	16,04
BILOGORA	45,53	17,12
OSIJEK-CEPIN	45,3	18,34
POREC	45,14	13,36
PULA	44,54	13,55
RIJEKA	45,13	14,35
GOSPIC	44,33	15,22
ZADAR	44,06	15,21
KNIN	44,02	16,12
SPLIT/RESNIK	43,32	16,18
SPLIT/MARJAN	43,31	16,26
DUBROVNIK	42,34	18,16
BIHAC	44,49	15,53
PRIJEDOR	44,59	16,45
SANSKI MOST	44,46	16,42
BANJA LUKA	44,47	17,13
JAJCE	44,21	17,16
BUGOJNO	44,04	17,28
ZENICA	44,13	17,54
DOBOJ	44,44	18,06
GRADACAC	44,53	18,26
TUZLA	44,33	18,42
LIVNO	43,5	17,01
MOSTAR	43,21	17,48
IVAN SEDLO	43,46	18,02
BJELASNICA	43,43	18,16
SARAJEWO	43,49	18,2
SARAJEVO-BEJELAVE	43,52	18,26
GACKO	43,1	18,33
SOKOLAC	43,57	18,49
BOTOSANI	47,44	26,39
ORADEA	47,02	21,54
CLUJ-NAPOCA	46,47	23,34
TIRGU MURES	46,32	24,32
BACAU	46,32	26,55
ARAD	46,08	21,21
FAGARAS	45,51	24,59
TIMISOARA	45,46	21,15
SIBIU	45,48	24,09
PREDEAL	45,31	25,35
ORAVITA	45,02	21,41
BUKAREST	44,3	26,08
BUKAREST/OTOPENI	44,33	26,06
CONSTANTA	44,13	28,39
KOGALNICEANU	44,2	28,26
VARNA	43,12	27,55
SOFIA	42,39	23,23
PLOVDIV	42,08	24,45
BURGAS	42,29	27,29
S. VALENTINO A. MUTA	46,46	10,32
BOZEN	46,28	11,2
PASSO ROLLE	46,18	11,47
PAGANELLA	46,09	11,02
DOBBIACO	46,44	12,13
AVIANO	46,02	12,36
TARVISIO	46,3	13,35
UDINE/RIVOLTO	45,59	13,02
PIAN ROSA	45,56	7,42
AOSTA	45,44	7,21
TURIN	45,13	7,39
MILANO/MALPENSA	45,37	8,44
MONTE BISBINO	45,52	9,04
BERGAMO	45,4	9,42
MAILAND	45,26	9,17
PIACENZA	44,55	9,44
PORTO TORRES	40,5	8,23
BRESCIA/GHEDI	45,25	10,17
VERONA	45,23	10,52
VICENZA	45,34	11,31
TREVISO-S. ANGELO	45,39	12,11
VENEDIG	45,3	12,2
RONCHI DEI LEG. AIRP	45,5	13,28
TRIEST	45,39	13,45
CUNEO LEVALDIGI	44,32	7,37
GENUA	44,25	8,51
ALBENGA	44,03	8,07
SARZANA/LUNI	44,05	9,59
PARMA	44,49	10,17
PASSO PORRETTA	44,01	11
FERRARA	44,5	11,37
BOLOGNA	44,32	11,18
PUNTA MARINA	44,27	12,18
FORLI	44,12	12,04
RIMINI	44,02	12,37
PISA-S.GIUSTO	43,41	10,23
VOLTERRA	43,24	10,52
FLORENZ	43,48	11,12
PERUGIA	43,05	12,3
FALCONARA	43,37	13,22
GROSSETO	42,45	11,04
VITERBO	42,26	12,03
MONTE TERMINILLO	42,28	12,59
L'AQUILA	42,22	13,19
PESCARA	42,26	14,12
ROMA-CIAMPINO	41,47	12,35
ROM	41,48	12,14
FROSINONE	41,38	13,18
PRATICA DI MARE	41,39	12,26
CAMPOBASSO	41,34	14,39
AMENDOLA	41,32	15,43
BARI	41,08	16,47
PONZA	40,55	12,57
NEAPEL	40,51	14,18
PONTECAGNANO	40,37	14,55
CAPRI	40,33	14,12
POTENZA	40,38	15,48
BRINDISI	40,39	17,57
MARINA DI GINOSA	40,25	16,53
CROTONE	39	17,04
LAMEZIA TERME	38,54	16,15
PALERMO	38,11	13,06
MESSINA	38,12	15,33
REGGIO CALABRIA	38,04	15,39
TRAPANI/BIRGI	37,55	12,3
PRIZZI	37,43	13,26
GELA	37,05	14,13
CATANIA	37,28	15,03
SIRACUSA /SICI	37,04	15,17
ALGHERO / SARDINIA	40,38	8,17
OLBIA/COSTA SMERALDA	40,54	9,31
FONNI	40,07	9,15
CARLOFORTE / ISOLA	39,08	8,19
CAPO BELLAVISTA	39,56	9,43
CAGLIARI	39,15	9,03
MALTA	35,51	14,29
SERRAI	41,04	23,34
THESSALONIKI	40,31	22,58
CHRYSOUPOLI	40,59	24,36
ALEXANDROUPOLI	40,51	25,55
KOZANI	40,18	21,47
KORFU	39,37	19,55
IOANNINA NATIONAL	39,42	20,49
AKTIO AIRPORT	38,55	20,46
LARISSA	39,38	22,25
LIMNOS	39,55	25,14
MYKONOS	37,26	25,21
MYTILINI/AIRPORT	39,04	26,36
STYLIS LAMIA	38,54	22,24
ANDRAVIDA	37,55	21,17
SKYROS	38,58	24,29
KEFALHNIA	38,07	20,3
PATRAS	38,15	21,44
ANAGRA	38,19	23,32
CHIOS	38,2	26,08
TRIPOLIS/INTL	37,32	22,24
ATHEN	37,54	23,44
SAMOS	37,42	26,55
KALAMATA	37,04	22,01
NAXOS	37,06	25,23
SIROS	37,25	24,57
PAROS	37,01	25,08
KOS	36,47	27,04
KYTHIRA	36,17	23,01
SANTORINI	36,25	25,26
SOUDA/AIRPORT	35,29	24,07
RHODOS	36,24	28,05
HERAKLION	35,2	25,11
TYMBAKION	35	24,45
KARPATHOS	35,31	27,15
ZONGULDAK	41,27	31,48
INEBOLU	41,59	33,46
SINOP	42,02	35,1
SAMSUN	41,17	36,18
CARSAMBA/SAMSUN	41,15	36,34
TRABZON	41	39,43
EDIRNE	41,4	26,34
CORLU	41,08	27,55
TEKIRDAG	40,59	27,33
ISTANBUL	40,58	28,49
BOLU	40,44	31,36
SIVAS	39,45	37,01
ERZURUM	39,55	41,16
BURSA	40,11	29,04
BURSA/YENISEHIR	40,15	29,33
ANKARA	40,07	32,59
VAN	38,27	43,19
KAYSERI/ERKILET	38,49	35,26
IZMIR/ADNAN MENDERE	38,16	27,09
ISPARTA	37,45	30,33
KONYA	37,58	32,33
KAHRAMANMARES	37,35	36,55
GAZIANTEP	37,05	37,22
DIYARBAKIR	37,53	40,12
BODRUM/MILAS	37,15	27,4
BODRUM	37,02	27,26
MUGLA/DALAMAN	36,42	28,47
ANTALYA	36,54	30,48
ADANA	37	35,25
PAPHOS AIRPORT	34,43	32,29
AKROTIRI	34,35	32,59
LARNAKA	34,53	33,38
NICOSIA	35,09	33,17
OSTROV GOLOMJANNYJ	79,33	90,37
OSTROV DIKSON	73,3	80,24
TIKSI	71,35	128,55
MURMANSK	68,58	33,03
ARCHANGELSK	64,35	40,3
KOJNAS	64,45	47,39
SORTAVALA	61,43	30,43
PETROSK	61,49	34,16
NORILSK	69,24	88,04
DUDINKA	69,24	86,1
NAR?JAN-MAR	67,38	53,01
VORKUTA	67,3	63,58
TAZOVSKOE	67,28	78,44
SALEHARD	66,32	66,4
TURUHANSK	65,47	87,56
BEREZOVO	63,56	65,03
OKTJABRSKOE	62,27	66,03
SYKTYVKAR	61,4	50,51
SURGUT	61,21	73,24
OLENEK	68,3	112,26
VERHOJANSK	67,33	133,23
OJMJAKON	63,15	143,09
JAKUTSK	62,01	129,43
MAGADAN	59,33	150,47
TALLIN	59,25	24,48
NARVA	59,23	28,07
ST.PETERSBURG	59,58	30,18
RISTNA	58,55	22,04
LOGEVA	58,45	26,25
ARENSBURG	58,13	22,31
PARNU-SAUGA	58,25	24,28
TARTU	58,18	26,44
PSKOV	57,49	28,2
BOLOGOE	57,54	34,03
VENTSPILS	57,24	21,32
ALUKSNE	57,26	27,02
LIEPAJA	56,29	21,01
SALDUS	56,41	22,3
RIGA	56,58	24,04
DOBELE	56,37	23,19
JELGAVA	56,33	23,58
BAUSKA	56,25	24,11
PALANGA	55,58	21,06
KLAIPEDA	55,42	21,09
SIAULIAI	55,56	23,19
PANEVEZYS	55,44	24,25
DAUGAVPILS	55,52	26,37
VERKHNEDVINSK	55,49	27,56
NIDA	55,18	21
KAUNAS POCIUNAI	54,53	23,5
KAUNAS	54,58	24,05
SVECIONYS	55,08	26,1
DOKSICY	54,53	27,45
LEPEL	54,53	28,42
VITEBSK	55,1	30,13
LEPEL	55,1	34,24
KOENIGSBERG	54,42	20,37
MARIJAMPOLE	54,31	23,21
VILNIUS	54,38	25,17
BORISOV	54,16	28,3
ORSHA	54,3	30,27
OGORKI	54,18	30,57
SMOLENSK	54,45	32,04
GRODNO	53,36	24,03
LIDA	53,54	25,19
STOLBTSY	53,28	26,44
MINSK	53,52	27,32
MINSK 2	53,52	27,32
MOGILEV YERM.	53,57	30,04
KOSTUCKOVICHI	53,22	32,04
BRYANSK	53,15	34,19
BARANOVICHI	53,08	25,58
SLUTSK	53,03	27,33
BOBRUISK	53,13	29,08
ZHLOBIN	52,54	30,03
TOTMA	59,53	42,45
CEREPOVEC	59,15	37,58
KIROV	58,34	49,34
KOSTROMA	57,44	40,47
TVER	56,53	35,52
NIZHNY NOVGOROD	56,14	43,47
KAZAN	55,36	49,17
MOSKAU	55,45	37,34
MOSCOW/SHEREMETYEVO	55,58	37,25
MOSKAU/DOMODEDOVO	55,25	37,46
TULA	54,14	37,37
RYAZAN	54,38	39,42
PENZA	53,07	45,01
DEMJANSKOE	59,36	69,17
PERM	58	56,2
PERM	57,57	56,12
UST-ISIM	57,41	71,11
IZHEVSK	56,5	53,27
OKTJABRSKI	56,31	57,12
EKATERINBURG	56,48	60,38
YELABUGA	55,46	52,03
CELJABINSK-BLANDINO	55,18	61,32
PETROPAVLOVSK	54,48	69,07
OMSK	55,01	73,23
UFA	54,43	55,5
SAMARA	53,15	50,27
SAMARA/KURUMOCH	53,3	50,09
KUSTANAI	53,13	63,37
KARGASOK	59,03	80,57
TOMSK	56,28	84,58
KRASNOJARSK	56,02	92,45
NOVOSIBIRSK	55,02	82,54
BARNAUL	53,26	83,31
NOVOKUZNETSK	53,49	86,53
VITIM	59,27	112,35
BODAJBO	57,51	114,14
BRATSK	56,17	101,45
NIZHNEANGARSK	55,47	109,33
ZHIGALOVO	54,48	105,13
IRKUTSK	52,16	104,21
GORJACINSK	52,59	108,17
CHITA	52,05	113,29
OKHOTSK	59,22	143,12
ZEJA	53,42	127,18
SOFIJSKIJ PRIISK	52,16	133,59
HABAROVSK	48,31	135,1
VLADIVOSTOK	43,07	131,54
NOGLIKI	51,55	143,08
JUZHNO-SAKHALINSK	46,57	142,43
SEVERO-KURILSK	50,41	156,08
KLJUCHI	56,19	160,5
UST'KAMCHATSK	56,13	162,43
BREST	52,07	23,41
PINSK	52,07	26,07
ZHITCKOVICHI	52,13	27,52
MOZYR	52,02	29,12
GOMEL	52,24	30,57
SARNY	51,19	26,37
BRAGIN	51,48	30,15
CHERNIGOV	51,27	31,12
VLADIMIR-VOLYNSKIJ	50,5	24,21
LUTSK	50,43	25,24
KONOTOP	51,14	33,12
SUMY	50,52	34,45
ROVNO	50,36	26,09
SHEPETIVKA	50,1	27,02
ZHYTOMYR	50,17	28,4
KIEW	50,24	30,27
KIEW/BORISPOL	50,2	30,58
LIVIV	49,48	23,58
TERNOPOL	49,32	25,41
MIRONOVKA	49,39	31,05
POLTAVA	49,37	34,33
IVANO-FRANKIVSK	48,56	24,42
VINNITSA	49,15	28,36
SVETLOVODSK	49,04	33,15
UZHGOROD	48,38	22,16
CHERNOVTSY	48,16	25,58
BRICENI	48,21	27,05
BALTI	47,47	27,57
BRAVICEA	47,22	28,26
LYUBASHEVKA	47,51	30,16
KRYVYI RIH	48,03	33,13
KISHINEV/KICHINAU	47,01	28,59
DUBASARI	47,17	29,08
TIRASPOL	46,52	29,36
ODESSA	46,29	30,38
NIKOLAYEV MATVEYEVKA	47,03	31,55
KOMRAT	46,18	28,38
CAHUL	45,53	28,14
IZMAIL	45,22	28,51
SARATA	46,01	29,4
KHERSON	46,44	32,43
DZHANKOI	45,43	34,23
SIMFEROPOL	45,02	33,58
KERCH	45,22	36,24
JALTA	44,3	34,1
AYVOVE	44,44	33,39
VORONEZ	51,39	39,15
VORONEZ	51,42	39,13
BALASHOV	51,33	43,09
SARATOW	51,33	46,02
DANILOVKA	50,22	44,07
KHARKIV	49,58	36,08
IZYUM	49,11	37,17
VOLGOGRAD	48,47	44,2
DNIPROPETROVSK	48,36	34,58
DONETSK	48,04	37,46
VOLGOGRAD	48,47	44,22
VOLNOVAKHA	47,37	37,29
NOVYY USHTOGAN	47,54	48,48
MARIUPOL WEST AIRP.	47,02	37,3
ROSTOV-NA-DONU	47,15	39,49
ASTRAHAN	46,17	48,03
KRASNODAR	45,01	39,09
STAVROPOL	45,07	42,05
ATBASAR	51,49	68,22
URALSK	51,15	51,17
ORENBURG	51,41	55,06
ORSK (SOUTH APT)	51,04	58,36
TSELINOGRAD	51,07	71,22
AKTJUBINSK	50,17	57,09
TORGAI	49,38	63,3
KARAGANDA	49,48	73,09
ZHEZKAZGAN	47,48	67,43
GUR?YEV	47,07	51,5
ARAL'SK	46,47	61,39
BALKHASH	46,53	75
PAVLODAR	52,18	76,56
ULKEN NARYN	49,12	84,31
URZHAR	47,07	81,37
BAKANAS	44,5	76,16
PANFILOV	44,1	80,04
ALMA-ATA	43,14	76,56
BALYKTSCHY (RYBACHE)	42,28	76,11
NARYN	41,26	76
KARAKOLKA	41,29	77,24
NOVOROSSIJSK	44,43	37,51
SOTSCHI	43,27	39,54
GAGRY	43,15	40,16
WLADIKAVKAZ	43,03	44,39
GROZNYJ	43,21	45,41
SUHUMI	42,52	41,08
TKVARCHELI	42,5	41,4
ZUGDIDI	42,31	41,53
AMBROLAURI	42,32	43,08
KUTAISI	42,15	42,38
CHINVALY	42,14	43,59
DUSHETI	42,05	44,42
AKHALTSIKHE	41,39	43
GORI	41,6	44,07
TBILISI (TIFLIS)	41,45	44,46
TBILISI	41,41	44,57
SAGAREDZO	41,44	45,2
ZAKATALY	41,34	46,4
ASHOTSK	41,02	43,53
BOLNISI	41,27	44,34
SHIRAKI	41,25	46,15
KHACHMAZ	41,25	48,53
KUBA	41,22	48,31
GYUMRI	40,46	43,51
STEPANAVAN	41	44,24
APARAN	40,32	44,23
VANADZOR	40,5	44,26
IDZHEVAN	40,52	45,09
SEVAN LAKE	40,34	45
GYANDJA	40,43	46,25
YEVLAKH	40,38	47,09
GEOKCHAY	40,39	47,45
MARAZA	40,32	48,56
SUMGAIT	40,38	48,38
ASHTARAK	40,17	44,21
ARMAVIR	40,08	43,54
YEREVAN ZVARTNOTS	40,09	44,23
YEREVAN	40,09	44,24
BAKU/BINA	40,27	50,04
ARTASHAT	39,56	44,31
AGDAM	39,59	46,56
STEPANAKERT	39,49	46,45
SISIAN	39,3	46,02
ZHDANOVSK	39,46	47,45
KAFAN	39,12	46,27
BILASUVAR	39,28	48,33
LENKORAN?	38,44	48,5
KYZYL-ORDA	44,51	65,3
AKTAU	43,38	51,11
ZHASLYK	43,53	57,53
AKBAYTAL	43,09	64,2
AK-KUDUK	42,58	54,06
NUKUS CITY	42,29	59,37
SHYMKENT (CHIMKENT)	42,19	69,42
KULAN	42,57	72,45
TALAS	42,31	72,13
BISHKEK	42,51	74,32
EKEZHE	41,02	57,46
DASHOGUZ (TASHAUZ)	41,45	59,49
URGENCH	41,35	60,39
TAMDYBULAK	41,44	64,37
TASCHKENT	41,16	69,16
PSKEM	41,54	70,22
KRASNOVODSK	40,03	53
CHAGYL	40,47	55,2
DARGANATA	40,28	62,17
NAVOI	40,08	65,21
DZHIZAK	40,07	67,5
SYRDAR?YA	40,49	68,41
KHUDJAND	40,13	69,42
NAMANGAN	40,59	71,35
DZHALAL-ABAD	40,55	72,57
KARA-SUU	40,42	72,54
FERGANA	40,23	71,45
YERBENT	39,19	58,36
BUHARA (BUKHARA)	39,47	64,29
CHARDZHOU	39,05	63,36
SAMARKAND	39,34	66,57
PENDZHIKENT	39,3	67,36
URA-TYUBE	39,54	68,59
ESENGULY	37,28	53,58
SERDAR	38,59	56,17
KARSHI	38,48	65,46
DUSHANBE	38,33	68,47
RASHT	39	70,18
DARVAZ	38,28	70,47
IRHT	38,1	72,38
KARAKUL?	39,01	73,33
ASHKHABAD	37,58	58,2
MARY (BAYRAM-ALI)	37,36	62,11
KERKI	37,5	65,12
TERMEZ	37,14	67,16
KURGAN-TYUBE	37,49	68,47
PYANDZH	37,15	69,05
KHOROG	37,3	71,31
SERAKHS	36,32	61,13
KUSHKA	35,17	62,21
KAMISHLI	37,03	41,13
ALEPPO	36,2	37,13
HASSAKAH	36,3	40,45
LATAKIA	35,24	35,56
HAMA	35,07	36,45
RAQQA	35,56	39,01
DEIR AZ ZAWR	35,19	40,09
PALMYRA	34,33	38,18
DAMASCUS	33,25	36,31
BEIRUT	33,49	35,29
HAIFA	32,48	35,02
TEL AVIV	32	34,54
JERUSALEM	31,47	35,13
EILAT	29,33	34,57
H-4 IRWAISHED	32,3	38,12
BAQURA	32,38	35,37
IRBID	32,33	35,51
WADI RAYAN	32,24	35,35
RAS MUNEEF	32,22	35,45
H-5 SAFAWI	32,12	37,08
MAFRAQ	32,22	36,15
WADI DHULAIL	32,09	36,17
SALT	32,02	35,44
AMMAN	31,59	35,59
AMMAN/QUENN ALIA	31,4	35,58
QATRANEH	31,15	36,07
JERICHO	31,52	35,3
DEIR ALLA	32,13	35,37
AL AZRAQ	31,5	36,49
ER RABBAH	31,16	35,45
GHOR EL SAFI	31,02	35,28
TAFILEH	30,47	35,43
SHOUBAK	30,31	35,32
JAFER	30,17	36,09
MA'AN	30,1	35,47
AQABA AIRPORT	29,33	35
AQABA (PORT)	29,29	34,59
RAFHA	29,37	43,29
TABUK	28,23	36,36
DAMMAM (KING FAHD IN	26,26	49,48
DHAHRAN INTL	26,16	50,09
AL MADINAH	24,33	39,42
RIAD INT.AIRPORT	24,56	46,43
RIYADH	24,42	46,44
KUWAIT	29,13	47,59
MOSUL	36,19	43,09
ERBIL	36,09	44
SULAIMANIYA	35,33	45,27
BAGHDAD	33,14	44,14
BASRAH	30,34	47,47
AHAR	38,26	47,04
RASHT	37,12	49,38
MASHHAD	36,16	59,38
SANANDAJ	35,2	47
TEHERAN	35,41	51,21
TORBAT-HEYDARIEH	35,16	59,13
KERMANSHAH	34,16	47,07
HAMEDAN	34,52	48,32
SAFI-ABAD DEZFUL	32,16	48,26
ESFAHAN	32,28	51,43
GACH SARAN DU GUNBA.	30,26	50,46
SHIRAZ	29,32	52,35
BAM	29,06	58,24
BANDARABBASS	27,13	56,22
FAIZABAD	37,07	70,31
MAZAR-I-SHARIF	36,42	67,12
KUNDUZ	36,4	68,55
BAGHLAN	36,05	68,39
