NAME	LAT	LON
BRIZE NORTON	51,45	-1,35
NORTHOLT	51,33	-0,25
STANSTED	51,53	0,14
CHIVENOR	51,05	-4,09
CARDIFF-WALES	51,24	-3,21
ST. ATHAN /WALES	51,24	-3,26
BRISTOL/MET.	51,28	-2,36
LYNEHAM	51,3	-1,59
LARKHILL	51,12	-1,49
FARNBOROUGH	51,17	0,46
LONDON	51,29	-0,27
LONDON/GATWICK	51,09	-0,11
LONDON WEATHER CENT.	51,31	-0,06
KENLEY	51,18	-0,05
MANSTON	51,21	1,21
SCILLY	49,55	-6,18
CAMBORNE	50,13	-5,2
CULDROSE	50,05	-5,15
ST. MAWGAN	50,26	-5
PLYMOUTH	50,21	-4,07
EXETER APT	50,44	-3,25
YEOVILTON	51,01	-2,38
BOURNEMOUTH/HURN	50,47	-1,5
SOUTHAMPTON	50,54	-1,24
ST.CATHERINE'S POINT	50,35	-1,18
HERSTMONCEUX	50,53	0,19
OXFORD	51,45	-1,16
GUERNSEY	49,26	-2,36
JERSEY-AIRPORT	49,13	-2,12
ST. ANGELO	54,24	-7,39
BALLYKELLY	55,04	-7,01
PORTRUSH	55,12	-6,39
BELFAST	54,39	-6,13
LIVERPOOL	53,2	-2,52
VALENTIA	51,56	-10,14
CORK AIRPORT	51,51	-8,29
ROSSLARE	52,15	-6,2
COVENTRY	52,22	-1,29
KILKENNY	52,4	-7,16
CARLOW OAK PARK	52,51	-6,55
SHANNON	52,42	-8,55
DUBLIN	53,26	-6,15
MULLINGAR	53,32	-7,22
BELMULLET	54,14	-10,01
MALIN HEAD	55,22	-7,2
KEFLAVIK	63,58	-22,36
REYKJAVIK	64,08	-21,54
VESTMANNAEYJAR	63,24	-20,17
AKUREYRI	65,41	-18,05
FAGURHOLSMYRI	63,53	-16,39
NUPUR	64,42	-14,06
DALATANGI	65,16	-13,35
SONDRESTROMFJORD	67,01	-50,42
GODTHAB NUUK	64,1	-51,45
NARSARSUAQ	61,09	-45,26
DANMARKSHAVN	76,46	-18,4
DANEBORG	74,18	-20,13
SCORESBYSUND	70,29	-21,58
TASIILAQ	65,36	-37,38
KULUSUK	65,34	-37,08
FAROEER	62,01	-6,46
ALBORG	57,06	9,52
SKAGEN	57,46	10,39
THYBORON	56,43	8,13
KARUP	56,18	9,07
SKIVE	56,33	9,1
TIRSTRUP	56,18	10,37
ANHOLT	56,42	11,33
ESBJERG	55,31	8,33
BILLUND	55,44	9,09
SKRYDSTRUP	55,14	9,16
KEGNAES	54,51	9,59
ODENSE	55,28	10,2
ABED	54,5	11,2
VINDEBAEK KYST	54,53	12,11
VAERLOESE	55,46	12,2
GNIBEN	56,01	11,17
KOEBENHAVN/ROSKILDE	55,35	12,08
TESSEBOELLE	55,24	12,09
KOPENHAGEN	55,38	12,4
ROENNE/BORNH.	55,04	14,45
VALKENBURG	52,11	4,25
KOOY	52,55	4,47
AMSTERDAM	52,18	4,46
VLIELAND	53,15	4,55
TERSCHELLING	53,22	5,13
DE BILT	52,06	5,11
LEEUWARDEN	53,13	5,46
DEELEN	52,04	5,53
HOOGEVEEN	52,44	6,31
GRONINGEN	53,08	6,35
TWENTHE	52,16	6,54
VLISSINGEN	51,26	3,36
HOEK V.HOLL.	51,59	4,07
ROTTERDAM	51,57	4,27
GILZE RIJEN	51,34	4,56
EINDHOVEN	51,27	5,25
VOLKEL	51,39	5,42
MAASTRICHT	50,55	5,47
OOSTENDE	51,12	2,52
GENT	51,11	3,49
CHARLEROI	50,28	4,27
ANTWERPEN	51,12	4,28
BRUESSEL	50,54	4,32
FLORENNES	50,14	4,4
BEAUVECHAIN	50,45	4,46
ST.HUBERT	50,02	5,24
BIERSET	50,39	5,27
KLEINE BROGEL	51,1	5,28
SPA/LA SAUVENIERE	50,29	5,55
ELSENBORN	50,28	6,11
LUXEMBURG	49,37	6,13
BASEL	47,32	7,35
NEUCHATEL	47	6,57
CHASSERAL	47,08	7,03
CRESSIER	47,03	7,04
MOLESON	46,33	7,01
PAYERNE	46,49	6,56
LA CHAUX DE FONDS	47,05	6,48
FAHY	47,25	6,56
LA FRETAZ	46,5	6,35
SCHAFFHAUSEN	47,41	8,37
GUETTINGEN	47,36	9,17
SALEN-REUTENEN	47,39	9,01
HALLAU	47,42	8,28
FRIBOURG POSIEUX	46,46	7,07
GOESGEN (KKW)	47,22	7,58
PLAFFEIEN-OBERSCH.	46,45	7,16
MUEHLEBERG / STOCKER	46,57	7,17
BERN	46,55	7,3
BERN-LIEBEFELD	46,59	7,27
GRENCHEN	47,11	7,25
BUCHS-SUHR	47,23	8,05
KOPPIGEN	47,07	7,37
MUEHLEBERG (KKW)	46,58	7,17
MEIRINGEN	46,43	8,1
LANGNAU I.E.	46,56	7,49
NAPF	47	7,56
MOEHLIN	47,34	7,53
WYNAU	47,16	7,47
RUENENBERG	47,26	7,53
BEZNAU	47,34	8,14
WUERENLINGEN	47,32	8,14
EGOLZWIL	47,11	8
LUZERN	47,01	8,18
SCHUEPFHEIM	46,57	8,01
ENGELBERG	46,49	8,25
GISWIL	46,5	8,11
PILATUS	46,59	8,15
ZUERICH (TOWN/VILLE)	47,23	8,34
RECKENHOLZ	47,26	8,31
LEIBSTADT (KKW)	47,36	8,11
LAEGERN	47,29	8,24
ZUERICH	47,29	8,32
ALTDORF	46,52	8,38
WAEDENSwl	47,13	8,41
CHAM	47,11	8,28
EINSIEDELN	47,08	8,46
OBERAEGERI	47,08	8,37
BISCHOFSZELL	47,3	9,14
TAENIKON	47,28	8,54
SAENTIS	47,15	9,2
ST.GALLEN	47,26	9,24
ELM	46,55	9,11
SCHMERIKON	47,13	8,56
GLARUS	47,02	9,04
QUINTEN	47,08	9,13
CRAP MASEGN	46,5	9,11
HOERNLI	47,22	8,56
ALTENRHEIN	47,29	9,34
EBNAT-KAPPEL	47,16	9,07
GENF	46,15	6,08
LA DOLE	46,25	6,06
BIERE	46,32	6,2
CHANGINS	46,24	6,14
COURTELARY	47,1	7,05
PULLY	46,31	6,4
AIGLE	46,2	6,55
GRAND-ST-BERNARD	45,52	7,1
SION	46,13	7,2
EVOLENE-VILLAZ	46,07	7,31
MONTANA	46,17	7,27
VISP	46,18	7,5
JUNGFRAUJOCH	46,32	7,59
INTERLAKEN	46,4	7,52
ADELBODEN	46,3	7,34
GRIMSEL-HOSPIZ	46,34	8,2
ULRICHEN	46,3	8,19
ZERMATT	46,02	7,45
GUETSCH	46,39	8,37
ROBIEI	46,27	8,31
PIOTTA	46,31	8,41
COMPROVASCO	46,28	8,56
CIMETTA	46,12	8,48
LOCARNO-MONTI	46,1	8,47
CADENAZZO	46,09	8,56
LUGANO	46	8,58
STABIO	45,5	8,56
LUGANO	46	8,54
BUFFALORA	46,39	10,16
WEISSFLUHJOCH	46,5	9,49
DISENTIS	46,42	8,51
SAN BERNARDINO	46,28	9,11
DAVOS	46,49	9,51
CHUR	46,52	9,32
ANDEER	46,37	9,25
VICOSOPRANO	46,21	9,37
SCHIERS	46,58	9,4
CORVATSCH	46,25	9,49
SAMEDAN	46,32	9,53
VALBELLA	46,46	9,33
ROBBIA	46,21	10,04
PIZ MARTEGNAS	46,35	9,32
STA. MARIA VAL MUEST	46,36	10,26
SCOULS	46,48	10,16
NALUNS / SCHLIVERA	46,49	10,16
VADUZ FL.	47,08	9,31
BOULOGNE	50,44	1,36
ABBEVILLE	50,08	1,5
LILLE	50,34	3,06
CAMBRAI	50,13	3,09
LA HAGUE	49,43	-1,56
CHERBOURG	49,39	-1,28
CAEN	49,11	-0,27
LA HEVE	49,31	0,04
ROUEN	49,23	1,11
EVREUX	49,01	1,13
DIEPPE	49,56	1,06
BEAUVAIS	49,28	2,07
SAINT-QUENTIN	49,49	3,12
REIMS	49,18	4,02
CHARLEVILLE	49,47	4,38
METZ	49,05	6,08
M.N.L.	48,59	6,15
OUESSANT	48,28	-5,08
BREST	48,27	-4,25
ST.BRIEUC	48,32	-2,51
DINARD APT	48,35	-2,04
RENNES	48,04	-1,44
POINTE DU ROC	48,5	-1,37
ALENCON	48,26	0,06
CHARTRES	48,28	1,31
PARIS	48,44	2,24
PARIS-LE BOURGET	48,58	2,26
PARIS CH.D.GAULLE	49,01	2,32
VATRY-AERO	48,47	4,1
TROYES	48,2	4,01
ST. DIZIER	48,38	4,54
EPINAL	48,12	6,26
NANCY	48,41	6,13
NANCY-OCHEY	48,35	5,58
STRASSBURG	48,33	7,38
COLMAR	47,55	7,24
PENMARCH	47,48	-4,22
QUIMPER	47,58	-4,1
LANN BIHOUE	47,46	-3,27
NANTES	47,1	-1,36
LE MANS	47,57	0,12
TOURS	47,27	0,43
ORLEANS	47,59	1,47
BOURGES	47,04	2,22
NEVERS	47	3,06
AUXERRE	47,48	3,33
DIJON	47,16	5,05
BESANCON	47,15	5,59
BASEL-MLH.	47,36	7,31
LA ROCHE-SUR-YON	46,42	-1,23
LA ROCHELLE	46,09	-1,09
POITIERS	46,35	0,18
CHATEAUROUX	46,52	1,43
SAINT-YAN.	46,25	4,01
MACON	46,18	4,48
LIMOGES	45,52	1,11
CLERMONT	45,47	3,1
ST. ETIENNE	45,32	4,18
LYON/BRON	45,43	4,57
LYON/SATOLAS	45,44	5,05
GRENOBLE	45,22	5,2
CHAMBERY - AIX	45,39	5,53
BOURG-ST-M	45,37	6,46
BORDEAUX	44,5	-0,42
MILLAU	44,07	3,01
MONTELIMAR	44,35	4,44
ORANGE	44,08	4,5
ST.AUBAN	44,04	6
BRIANCON	44,55	6,39
SOCOA	43,24	-1,41
